Component_ID,Lot_ID,Iddq_uA_0h,Iddq_uA_24h,Iddq_uA_96h,Iddq_uA_168h,Leakage_nA_0h,Leakage_nA_24h,Leakage_nA_96h,Leakage_nA_168h,PropDelay_ns_0h,PropDelay_ns_24h,PropDelay_ns_96h,PropDelay_ns_168h,Ground_Truth
COMP_00000,LOT_00,11.67,11.735,11.919,11.958,465.62,465.95,471.29,477.05,3.1385,3.1625,3.1727,3.2156,Normal
COMP_00001,LOT_00,12.147,12.151,12.366,12.499,450.76,457.04,459.14,465.54,3.2081,3.2274,3.2192,3.2635,Normal
COMP_00002,LOT_00,12.417,12.453,12.628,12.694,420.93,422.29,428.86,432.42,3.0542,3.0628,3.1131,3.1288,Normal
COMP_00003,LOT_00,11.741,11.858,12.041,12.134,450.17,447.24,455.19,462.88,3.1282,3.1426,3.2023,3.2555,Normal
COMP_00004,LOT_00,11.353,11.407,11.348,11.378,433.63,437.57,441.17,445.37,3.0663,3.0918,3.1462,3.1745,Normal
COMP_00005,LOT_00,12.233,12.301,12.269,12.478,439.53,439.11,442.53,444.34,3.2281,3.2281,3.256,3.2863,Normal
COMP_00006,LOT_00,12.039,12.15,12.236,12.35,458.66,466.5,472.2,478.98,3.1951,3.1949,3.212,3.2561,Normal
COMP_00007,LOT_00,12.319,12.346,12.44,12.474,444.15,449.0,454.03,461.22,3.1272,3.1469,3.1898,3.2181,Normal
COMP_00008,LOT_00,12.44,12.519,12.681,12.824,434.87,440.3,438.36,442.42,3.1803,3.1963,3.228,3.2635,Normal
COMP_00009,LOT_00,11.794,11.853,11.944,12.147,459.62,465.61,466.5,473.36,3.2194,3.2603,3.2992,3.3599,Normal
COMP_00010,LOT_00,12.318,12.186,12.339,12.54,442.66,443.77,449.25,448.67,3.1631,3.1557,3.22,3.2471,Normal
COMP_00011,LOT_00,11.88,23.902,12.122,12.233,454.23,453.43,461.34,462.35,3.2544,3.2836,3.2875,3.3081,Sensor_Glitch
COMP_00012,LOT_00,11.576,11.643,11.74,11.963,457.13,460.93,463.28,467.61,3.1596,3.1624,3.182,3.2011,Normal
COMP_00013,LOT_00,12.321,12.377,12.535,12.619,467.64,462.09,465.83,469.14,3.1406,3.1632,3.2375,3.2816,Normal
COMP_00014,LOT_00,11.896,11.915,12.036,12.254,444.87,446.38,74.98,453.2,3.149,3.1408,3.1634,3.1938,Sensor_Glitch
COMP_00015,LOT_00,12.114,12.008,12.086,12.183,452.3,456.92,460.01,462.47,3.1618,3.1624,3.2172,3.2317,Normal
COMP_00016,LOT_00,11.747,11.666,11.869,11.958,449.03,456.57,458.38,467.87,3.1159,3.1329,3.1619,3.1742,Normal
COMP_00017,LOT_00,11.506,11.489,11.843,11.878,430.79,434.54,437.31,443.49,3.1182,3.1008,3.1308,3.1695,Normal
COMP_00018,LOT_00,12.404,12.421,12.565,12.516,439.85,441.31,445.17,448.29,3.1139,3.1488,3.1602,3.1926,Normal
COMP_00019,LOT_00,12.064,12.114,12.199,12.361,429.16,433.22,437.96,442.31,3.1892,3.2017,3.2187,3.2418,Normal
COMP_00020,LOT_00,12.139,12.13,12.294,12.329,446.67,449.61,452.35,458.24,3.1581,3.1659,3.1919,3.2106,Normal
COMP_00021,LOT_00,12.23,12.318,12.3,12.37,448.0,454.95,460.5,465.06,3.1403,3.1496,3.1828,3.2064,Normal
COMP_00022,LOT_00,11.662,11.67,11.824,11.929,520.39,523.43,529.68,534.26,3.209,3.2426,3.2822,3.3471,Leakage_Only_Outlier
COMP_00023,LOT_00,12.525,12.459,12.646,12.879,451.11,451.52,450.83,459.2,3.1535,3.1493,3.1666,3.1787,Normal
COMP_00024,LOT_00,12.201,12.172,12.279,12.397,458.53,459.68,465.46,469.09,3.0432,3.048,3.1127,3.1349,Normal
COMP_00025,LOT_00,12.63,12.574,12.632,12.82,447.33,447.37,453.16,454.52,3.2153,3.2339,3.2757,3.3113,Normal
COMP_00026,LOT_00,12.071,12.071,12.129,12.365,461.53,461.98,466.81,476.69,3.1141,3.1407,3.1685,3.1818,Normal
COMP_00027,LOT_00,12.156,12.26,12.325,12.426,463.84,467.24,474.86,476.7,3.1443,3.1697,3.2051,3.2421,Normal
COMP_00028,LOT_00,11.797,11.776,11.887,11.978,458.32,467.95,468.43,470.39,3.1527,3.1827,3.2237,3.2452,Normal
COMP_00029,LOT_00,12.328,12.355,12.56,12.753,451.01,458.39,461.53,471.64,3.1478,3.1611,3.1965,3.2253,Normal
COMP_00030,LOT_00,12.002,11.988,12.088,12.344,409.72,414.47,422.6,428.14,3.2101,3.2378,3.2757,3.3414,Normal
COMP_00031,LOT_00,12.194,12.08,12.168,12.206,440.75,442.54,443.7,448.75,3.1438,3.1536,3.2074,3.248,Normal
COMP_00032,LOT_00,11.934,12.043,12.115,12.343,477.18,479.68,485.12,486.57,3.1704,3.1901,3.2094,3.2479,Normal
COMP_00033,LOT_00,11.921,11.953,12.114,12.394,453.62,451.53,456.57,463.23,3.197,3.2014,3.2493,3.2841,Normal
COMP_00034,LOT_00,11.485,11.628,11.689,11.783,436.47,437.08,444.71,448.43,3.1218,3.1377,3.1611,3.1677,Normal
COMP_00035,LOT_00,12.003,12.082,12.126,12.227,438.61,443.02,452.83,460.95,3.1708,3.1858,3.2111,3.2776,Normal
COMP_00036,LOT_00,13.736,13.766,13.993,14.206,518.86,519.94,520.08,527.6,3.1055,3.1371,3.1581,3.1891,Dynamic_Outlier
COMP_00037,LOT_00,11.821,11.883,12.04,11.99,456.82,454.43,460.58,463.11,3.1335,3.1527,3.1973,3.2625,Normal
COMP_00038,LOT_00,11.965,12.036,12.136,12.207,422.91,427.09,428.06,432.39,3.1407,3.175,3.2318,3.2651,Normal
COMP_00039,LOT_00,12.324,12.372,12.484,12.712,439.5,440.68,446.4,455.53,3.1869,3.1951,3.2088,3.2706,Normal
COMP_00040,LOT_00,12.097,12.098,12.259,12.331,455.93,457.06,465.61,468.4,3.1838,3.1786,3.1988,3.2211,Normal
COMP_00041,LOT_00,12.356,12.483,12.661,12.754,450.12,447.78,452.82,458.83,3.1535,3.1646,3.1874,3.2371,Normal
COMP_00042,LOT_00,11.944,12.007,12.163,12.269,450.37,451.97,458.77,464.76,3.1971,3.2029,3.248,3.294,Normal
COMP_00043,LOT_00,11.783,11.939,12.144,12.208,458.31,459.3,466.66,475.45,3.1579,3.1583,3.1753,3.166,Normal
COMP_00044,LOT_00,12.378,12.556,12.652,12.849,442.41,443.26,446.59,449.33,3.1293,3.1423,3.1601,3.1745,Normal
COMP_00045,LOT_00,12.023,12.101,12.385,12.451,447.54,452.21,454.13,457.13,3.1277,3.14,3.167,3.2117,Normal
COMP_00046,LOT_00,12.102,12.192,12.245,12.497,440.23,439.18,439.13,442.26,3.0807,3.0776,3.1218,3.1744,Normal
COMP_00047,LOT_00,11.65,11.712,11.808,11.922,450.1,451.22,460.77,464.64,3.1402,3.1754,3.1986,3.2663,Normal
COMP_00048,LOT_00,11.788,11.939,12.067,12.102,440.19,443.15,455.06,458.78,3.0982,3.1102,3.1582,3.1997,Normal
COMP_00049,LOT_00,11.282,11.353,11.46,11.636,457.9,456.8,469.29,473.45,3.1475,3.1499,3.172,3.2389,Normal
COMP_00050,LOT_00,12.143,12.193,12.435,12.711,449.73,448.61,449.82,449.55,3.1569,3.1734,3.2183,3.2333,Normal
COMP_00051,LOT_00,12.971,13.017,13.115,13.299,458.13,455.51,461.37,466.57,3.1703,3.1838,3.2248,3.2481,Normal
COMP_00052,LOT_00,12.143,12.162,12.415,12.484,442.38,445.19,446.27,446.78,3.1456,3.1589,3.1902,3.2595,Normal
COMP_00053,LOT_00,12.498,12.708,13.797,15.635,455.44,469.39,525.84,603.95,3.1103,3.1204,3.2249,3.3627,Drift_Anomaly
COMP_00054,LOT_00,11.898,12.004,11.978,12.049,433.42,434.82,439.23,446.39,3.0908,3.0989,3.1505,3.1694,Normal
COMP_00055,LOT_00,11.982,12.044,12.137,12.348,432.64,437.15,442.26,447.74,3.1561,3.1746,3.1895,3.1884,Normal
COMP_00056,LOT_00,11.973,12.15,12.235,12.371,455.43,460.47,460.67,467.38,3.1026,3.1115,3.1447,3.1866,Normal
COMP_00057,LOT_00,12.121,12.195,12.181,12.324,421.66,424.91,428.98,433.62,3.1321,3.1343,3.194,3.2459,Normal
COMP_00058,LOT_00,12.643,12.711,12.809,12.764,454.2,457.98,463.95,465.65,3.0862,3.107,3.1365,3.1568,Normal
COMP_00059,LOT_00,11.754,11.834,11.897,12.068,445.98,448.0,450.44,453.9,3.2203,3.244,3.2922,3.348,Normal
COMP_00060,LOT_00,12.124,12.168,12.366,12.551,486.99,485.54,492.5,498.05,3.1451,3.1374,3.1878,3.22,Normal
COMP_00061,LOT_00,12.24,12.251,12.273,12.334,426.04,427.06,434.82,444.89,3.1284,3.117,3.1369,3.1485,Normal
COMP_00062,LOT_00,12.132,12.298,12.395,12.613,435.18,434.86,439.53,444.19,3.1667,3.1605,3.2426,3.2537,Normal
COMP_00063,LOT_00,12.688,12.916,13.997,15.36,468.49,478.82,515.29,557.71,3.1635,3.2,3.3069,3.4139,Drift_Anomaly
COMP_00064,LOT_00,11.615,11.682,11.788,12.008,424.6,428.81,430.62,438.37,3.1703,3.1745,3.1975,3.2005,Normal
COMP_00065,LOT_00,12.292,12.253,12.596,12.617,454.57,455.04,456.81,468.69,3.1296,3.1473,3.179,3.1784,Normal
COMP_00066,LOT_00,12.606,12.471,12.751,12.821,449.17,451.88,452.44,451.63,3.1302,3.1297,3.1069,3.1071,Normal
COMP_00067,LOT_00,12.151,12.178,12.305,12.526,434.2,436.18,439.46,448.34,3.1491,3.16,3.22,3.2675,Normal
COMP_00068,LOT_00,11.771,11.911,12.094,12.17,430.98,432.96,439.64,448.34,3.1054,3.124,3.1548,3.1823,Normal
COMP_00069,LOT_00,12.023,12.162,12.193,12.279,433.75,432.37,438.5,443.23,3.1859,3.1914,3.1938,3.2398,Normal
COMP_00070,LOT_00,11.783,11.808,11.951,12.139,448.47,453.5,447.3,451.58,3.1667,3.1559,3.1755,3.2184,Normal
COMP_00071,LOT_00,12.132,12.504,12.744,12.71,429.88,433.24,438.84,439.35,3.1396,3.2276,3.2678,3.2996,Multivariate_Outlier
COMP_00072,LOT_00,9.38,9.391,9.549,9.734,342.26,345.57,352.05,354.08,3.163,3.1527,3.1732,3.2199,Dynamic_Outlier
COMP_00073,LOT_00,12.357,12.461,12.645,12.728,463.29,461.77,469.43,472.34,3.1356,3.1627,3.1637,3.1965,Normal
COMP_00074,LOT_00,11.513,11.543,11.561,11.709,459.11,461.4,464.92,469.12,3.2866,3.3089,3.3429,3.3929,Normal
COMP_00075,LOT_00,11.648,11.621,11.769,11.702,458.45,459.81,462.18,468.71,3.148,3.1675,3.1778,3.2171,Normal
COMP_00076,LOT_00,12.158,12.121,12.193,12.383,447.68,449.02,458.44,467.13,3.3909,3.386,3.4307,3.4748,Timing_Outlier
COMP_00077,LOT_00,12.084,12.065,12.257,12.392,476.44,477.9,480.74,490.21,3.1935,3.2046,3.2408,3.2697,Normal
COMP_00078,LOT_00,12.403,12.422,12.556,12.742,427.38,431.51,430.83,434.73,3.1509,3.1402,3.1785,3.2194,Normal
COMP_00079,LOT_00,9.199,9.278,9.351,9.468,344.49,348.02,353.42,353.94,3.1734,3.1913,3.2451,3.2923,Dynamic_Outlier
COMP_00080,LOT_00,11.97,11.984,12.11,12.183,476.51,480.29,478.29,484.48,3.1665,3.1589,3.1855,3.1958,Normal
COMP_00081,LOT_00,12.365,12.476,12.545,12.653,438.38,440.93,445.88,453.37,3.1475,3.1511,3.2055,3.2389,Normal
COMP_00082,LOT_00,11.946,11.874,12.002,12.021,455.6,458.5,459.32,460.77,3.0993,3.0935,3.1241,3.1635,Normal
